List kata-kata asing :

hardware, Hal 4, Pendahuluan, Paragraf 1, Kalimat 4
software, Hal 4, Pendahuluan, Paragraf 1, Kalimat 4
mall, Hal 4

status, Hal 5, Latar Belakang, Paragraf 3, Kalimat 4
user, Hal 6, Ruang Lingkup, Paragraf 2, Poin 2

smartphone, Hal 5, Tujuan, Paragraf 1, Poin 1

Iterative Waterfall, Hal 8, Metodelogi, Paragraf 1, Kalimat 1
sequential, Hal 8, Metodelogi , Paragraf 1, Kalimat 2
feedback, Hal 8, Metodelogi , Paragraf 1, Kalimat 3

gigabyte, hal 7, hardware, paragraf 1, poin 1
ram, hal 7, hardware, paragraf 1, poin 1	
monitor, hal 7, hardware, paragraf 1, poin 2
